,Unnamed: 0,date,event,map,team_1,team_2
8670,8670.0,27/3/22,SCL Season 3,['Vertigo'],Run or Die (16),BOOMSHAKE (12)
8671,8671.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Vertigo'],LF0 (12),EC Brugge (16)
8672,8672.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Dust2'],EC Brugge (19),LF0 (17)
8673,8673.0,27/3/22,Pinnacle Cup III,['Mirage'],Copenhagen Flames (16),Endpoint (8)
8674,8674.0,28/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Nuke'],MIBR (16),paiN (5)
8675,8675.0,28/3/22,CBCS Retake Series 2022 Season 1,['Nuke'],ARCTIC (16),B4 (10)
8676,8676.0,28/3/22,CBCS Retake Series 2022 Season 1,['Dust2'],B4 (13),ARCTIC (16)
8677,8677.0,28/3/22,CBCS Retake Series 2022 Season 1,['Ancient'],ARCTIC (13),B4 (16)
8678,8678.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Vertigo'],paiN (16),Carpe Diem (13)
8679,8679.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Dust2'],Carpe Diem (10),paiN (16)
8680,8680.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Mirage'],paiN (9),Carpe Diem (16)
8681,8681.0,27/3/22,CBCS Retake Series 2022 Season 1,['Dust2'],Los Grandes (16),FreeStyle (14)
8682,8682.0,27/3/22,CBCS Retake Series 2022 Season 1,['Mirage'],Los Grandes (8),FreeStyle (16)
8683,8683.0,27/3/22,CBCS Retake Series 2022 Season 1,['Inferno'],FreeStyle (9),Los Grandes (16)
8684,8684.0,27/3/22,ESEA Spring 2022 Cash Cup 1 South America,['Mirage'],Young Gods (16),Cruzeiro (7)
8685,8685.0,27/3/22,ESEA Spring 2022 Cash Cup 1 South America,['Ancient'],Young Gods (16),Cruzeiro (14)
8686,8686.0,27/3/22,ESEA Spring 2022 Cash Cup 1 South America,['Vertigo'],Cruzeiro (16),Young Gods (2)
8687,8687.0,27/3/22,ESEA Advanced Season 40 Europe,['Inferno'],ALTERNATE aTTaX (16),4glory (8)
8688,8688.0,27/3/22,ESEA Advanced Season 40 Europe,['Mirage'],ALTERNATE aTTaX (12),4glory (16)
8689,8689.0,27/3/22,ESEA Advanced Season 40 Europe,['Ancient'],4glory (11),ALTERNATE aTTaX (16)
8690,8690.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Ancient'],ENCE (16),Apeks (14)
8691,8691.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Nuke'],Apeks (9),ENCE (16)
8692,8692.0,27/3/22,ESL Pro League Season 15,['Overpass'],Liquid (11),Players (16)
8693,8693.0,27/3/22,ESL Pro League Season 15,['Dust2'],Players (16),Liquid (1)
8694,8694.0,27/3/22,Pinnacle Cup III,['Dust2'],MOUZ NXT (11),SKADE (16)
8695,8695.0,27/3/22,Pinnacle Cup III,['Mirage'],SKADE (16),MOUZ NXT (7)
8696,8696.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Vertigo'],Into the Breach (11),AVANGAR (16)
8697,8697.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Inferno'],AVANGAR (8),Into the Breach (16)
8698,8698.0,27/3/22,ESEA Spring 2022 Cash Cup 1 Europe,['Nuke'],Into the Breach (16),AVANGAR (19)
8699,8699.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Nuke'],UNGENTIUM (12),ENCE (16)
8700,8700.0,27/3/22,Pinnacle Cup III,['Overpass'],Endpoint (8),Copenhagen Flames (16)
8701,8701.0,27/3/22,OMEN WGR European Challenge 2022,['Nuke'],Imperial (16),Falcons (14)
8702,8702.0,27/3/22,OMEN WGR European Challenge 2022,['Inferno'],Falcons (17),Imperial (19)
8703,8703.0,27/3/22,Pinnacle Cup III,['Ancient'],Tricked (16),4glory (13)
8704,8704.0,27/3/22,Pinnacle Cup III,['Nuke'],4glory (10),Tricked (16)
8705,8705.0,27/3/22,Perfect World Arena Premier League Season 1,['Mirage'],Rare Atom (16),YK (9)
8706,8706.0,27/3/22,Perfect World Arena Premier League Season 1,['Nuke'],YK (3),Rare Atom (16)
8707,8707.0,27/3/22,Perfect World Arena Premier League Season 1,['Nuke'],YK (16),Invictus (6)
8708,8708.0,27/3/22,Perfect World Arena Premier League Season 1,['Inferno'],Invictus (10),YK (16)
8709,8709.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Overpass'],Gaimin Gladiators (10),MIBR (16)
