,Unnamed: 0,team,points,players,date_start
9043,9043.0,['Caught off Guard'],['(3 points)'],"['kibstar', 'viridian', 'kayoh', 'BaN4na', 'Terryyy']",20/12/2021
9044,9044.0,['ex-FURY'],['(2 points)'],"['toM', 'oliff', 'callum_murray', 'bandit', 'tallaj']",20/12/2021
9045,9045.0,['Dynasty'],['(2 points)'],"['yourwombat', 'swede', 'versa', 'nexar', 'rhys']",20/12/2021
9046,9046.0,['Alke'],['(2 points)'],"['cl0ver', 'Mr Shark', 'Oily', 'slipary', 'Velocity']",20/12/2021
9047,9047.0,['Kanga'],['(1 points)'],"['DANZ', 'm0nt', 'Edlinn', 'TjP', 'Sliimey']",20/12/2021
9048,9048.0,['Collateral'],['(1 points)'],"['Screts', 'antwon', 'Zym', 'rayn', 'streaty']",20/12/2021
9049,9049.0,['Apocalypse'],['(1 points)'],"['end[R]', 'jayketh', 'Craftyy', 'harbor', 'ep1phany']",20/12/2021
9050,9050.0,['ex-Lese'],['(0 points)'],"['kyson', 'Mes', 'deqny', 'Archie', 'supar']",20/12/2021
9051,9051.0,['Nebula'],['(0 points)'],"['KStaar', 'ZILLA', 'Anima', 'Josh', 'kayoh']",20/12/2021
9052,9052.0,['Liquid'],['(176 points)'],"['FalleN', 'NAF', 'EliGE', 'Stewie2K', 'Grim']",13/12/2021
9053,9053.0,['Party Astronauts'],['(28 points)'],"['djay', 'ben1337', 'Infinite', 'PwnAlone', 'cynic']",13/12/2021
9054,9054.0,['Bad News Bears'],['(21 points)'],"['Spongey', 'Shakezullah', 'junior', 'Swisher', 'Bwills']",13/12/2021
9055,9055.0,['Triumph'],['(14 points)'],"['RZU', 'xCeeD', 'cxzi', 'viz', 'grape']",13/12/2021
9056,9056.0,['RBG'],['(12 points)'],"['Walco', 'wiz', 'jitter', 'HexT', 'chop']",13/12/2021
9057,9057.0,['ChocoCheck'],['(11 points)'],"['JazzPimp', 'XotiC', 'nosraC', 'CLASIA', 'jeorgesnorts']",13/12/2021
9058,9058.0,['Strife'],['(9 points)'],"['brett', 'stamina', 'J0LZ', 'SATURN', 'SLIGHT']",13/12/2021
9059,9059.0,['Eros'],['(6 points)'],"['shutout', 'freshie', 'BeaKie', 'omniscient', 'JTMythic']",13/12/2021
9060,9060.0,['Valors'],['(5 points)'],"['droid', 'robby', 'WOOHOO', 'Calix', 'Pluto']",13/12/2021
9061,9061.0,['voLante'],['(5 points)'],"['GRAHAM', 'Cyrix', 'taiwi', 'garret', 'Tender']",13/12/2021
9062,9062.0,['InControl'],['(5 points)'],"['krotomo', 'hyza', 'STRiiDER', 'Andrew', 'clipsanity']",13/12/2021
9063,9063.0,['Brazen'],['(5 points)'],"['heretic', 'SolGoat', 'Sway', 'pengnax', 'Izik']",13/12/2021
9064,9064.0,['X13'],['(4 points)'],"['aris', 'Jonesy', 'Makzwell', 'scar', 'Lemonz']",13/12/2021
9065,9065.0,['ONET4P'],['(4 points)'],"['Just2EZ', 'walker', 'JDubs', 'Elk', 'Fr3nk1e']",13/12/2021
9066,9066.0,['Third Impact'],['(4 points)'],"['Danejoris', 'JoJo', 'Wolffe', 'insane', 'AJaxz']",13/12/2021
9067,9067.0,['Northern Forces'],['(4 points)'],"['Wilky', 'EllisoN', 'D4rtyMontana', 'JAM', 'sam']",13/12/2021
9068,9068.0,['Detonate'],['(4 points)'],"['Swahn', 'Delta9', 'Ghostii', 'silas', 'Sutter']",13/12/2021
9069,9069.0,['Coldest Riders'],['(3 points)'],"['tweiss', 'Drew', 'landmaz', 'Pol0', 'jermanji']",13/12/2021
9070,9070.0,['PG'],['(3 points)'],"['Louie', 'captai', 'Nixs', 'Arktos', 'Joshyy']",13/12/2021
9071,9071.0,['Kinship'],['(3 points)'],"['1kyle', 'Livid', 'Average', 'garfield', 'rezy1on']",13/12/2021
9072,9072.0,['Limitless'],['(2 points)'],"['Cryptic', 'consti', 'ayy', 'Umar', 'Jason']",13/12/2021
9073,9073.0,['Big Chillin'],['(2 points)'],"['hate', 'dvl', 'Munk', 'Xzen', 'Melloh']",13/12/2021
9074,9074.0,['Levitate'],['(2 points)'],"['micro', 'Drewtheshrew', 'bootylord', 'Feral', 'JBa']",13/12/2021
9075,9075.0,['Davenport University'],['(1 points)'],"['arcade', 'CoJoMo', 'Pugg', 'slomotion', 'BeBO']",13/12/2021
9076,9076.0,['Touch Point'],['(1 points)'],"['TiCx', 'PoseidoNN', 'Beastman', 'flixxy', 'xCAPE']",13/12/2021
9077,9077.0,['Omega'],['(1 points)'],"['gir', 'Mellow', 'Talen', 'zebra', 'LukeK']",13/12/2021
9078,9078.0,['All Gas No Brakes'],['(1 points)'],"['Stx', 'NICKHALDEN', 'davd', 'febreeze']",13/12/2021
9079,9079.0,['Leviatan'],['(9 points)'],"['reversive', 'DILLION1', '1962', 'tom1jed']",13/12/2021
9080,9080.0,['River Plate'],['(7 points)'],"['minimal', 'arieldidi', 'MRN1', 'guidimon', 'atarax1a']",13/12/2021
9081,9081.0,['Furious'],['(3 points)'],"['meyern', 'EmaDlz', 'OwensinhoM', 'nacho', 'abizz']",13/12/2021
9082,9082.0,['9z Academy'],['(3 points)'],"['KAISER', 'relentless', 'buda', 'righi', 'mt1']",13/12/2021
9083,9083.0,['Stone'],['(3 points)'],"['Andrew', 'ABM', 'fusco', 'Hezz', 'naz']",13/12/2021
9084,9084.0,['Coscu Army'],['(2 points)'],"['restikk', 'nhl', 'jotti', '648', 'FRANAR']",13/12/2021
9085,9085.0,['PAMPAS'],['(1 points)'],"['PREDI', 'BerSeCkaZo', 'pavv', 'andizin', 'bichop']",13/12/2021
9086,9086.0,['Malvinas'],['(1 points)'],"['ramuljas', 'kissmyass', 'gatito', 'dgn', 'TIKO']",13/12/2021
9087,9087.0,['FURIA'],['(187 points)'],"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']",13/12/2021
9088,9088.0,['GODSENT'],['(115 points)'],"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']",13/12/2021
9089,9089.0,['paiN'],['(39 points)'],"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']",13/12/2021
9090,9090.0,['TeamOne'],['(22 points)'],"['Maluk3', 'prt', 'malbsMd', 'pesadelo', 'xns']",13/12/2021
9091,9091.0,['Sharks'],['(19 points)'],"['jnt', 'pancc', 'realz1n', 'Lucaozy', 'zevy']",13/12/2021
9092,9092.0,['MIBR'],['(14 points)'],"['boltz', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']",13/12/2021
9093,9093.0,['Isurus'],['(13 points)'],"['Noktse', 'DeStiNy', 'ALLE', 'deco', 'nython']",13/12/2021
9094,9094.0,['Imperial'],['(9 points)'],"['zqkS', 'SHOOWTiME', 'delboNi', 'horvy', 'ckzao']",13/12/2021
9095,9095.0,['00NATION'],['(7 points)'],"['kNgV-', 'fer', 'trk', 'leo_drk', 'vsm']",13/12/2021
9096,9096.0,['Keyd'],['(7 points)'],"['raafa', 'ponter', 'abr', 't9rnay', 'lub']",13/12/2021
